Iteración,NA's Arribo,Arribo,T. de Llegada,NA's Distribución,T. Distribución,Inicio Distribución,Fin Distribución,NA's Servidor 1,Inicio Servidor 1,Fin Servidor 1,NA's Servidor 2,Inicio Servidor 2,Fin Servidor 2,NA's Servidor 3,Inicio Servidor 3,Fin Servidor 3,NA's Servidor 4,Inicio Servidor 4,Fin Servidor 4,NA's Servidor 5,Inicio Servidor 5,Fin Servidor 5,Cola Distribución,Cola Servidor,Cola Total,Promedio Móvil,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,Replica 9,Replica 10,Replica 11,Replica 12,Replica 13,Replica 14,Replica 15
107,"[0.934654, 0.2248, 0.977213, 0.699878, 0.494082, 0.14538]",0.6138462544972672,74.70522897383563,"[0.350951, 0.35422]",0.19007108703313103,74.70522897383563,74.89530006086876,,0.0,0.0,"[0.435526, 0.497111]",75.55483869173783,77.35333135789972,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.659538630869065,0.659538630869065,0.5976876072523565,0.5948934341813716,0.7154925349701707,0.6842767129320663,0.12044692370428241,1.9211696317097116,0.6887814593603373,1.1131498258703505,0.1537539344884369,0.33169406432449333,0.7869871609883986,0.8031273683179205,0.3768605863156111,0.2784990669400576,0.5236336839640701,0.5976876072523565
108,"[0.979373, 0.850438, 0.50996, 0.116331]",0.6575303063092238,75.36275928014486,"[0.84793, 0.11531]",0.45191391814331483,75.36275928014486,75.81467319828818,"[0.657198, 0.96318, 0.198031, 0.979896, 0.154116, 0.849966, 0.440421, 0.252089]",75.99206839367356,77.72502763810613,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.17739519538538673,0.17739519538538673,0.5937960108461808,0.6204653205300135,0.7088676040908174,0.6779408174419546,0.11933167441072424,1.9257416934235485,0.7381750101751966,1.1028428830382178,0.1523302869468773,0.3286228229881554,0.8095821146545534,0.7956910037964583,0.38119139918246364,0.2759203718757978,0.5187852239273657,0.5937960108461808
109,"[0.497832, 0.626602]",0.6239517820983443,75.9867110622432,"[0.186163, 0.262569]",0.1286610647878964,75.9867110622432,76.1153721270311,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.935216, 0.630362, 0.924554, 0.656597, 0.444983, 0.643355]",76.67905684973648,78.57641618306839,0.0,0.5636847227053892,0.5636847227053892,0.5935197604962653,0.6524077898948274,0.702382600208543,0.6720749592316322,0.11823688840695613,1.9361521784946918,0.7939063591070146,1.0927250584231882,0.15180178162933708,0.3256079347038604,0.8286518193288803,0.7902071516849213,0.3836086740213902,0.27338899231730424,0.5140257264601422,0.5935197604962653
110,"[0.401299, 0.41961]",0.4007986080453238,76.38750967028852,"[0.340317, 0.309129]",0.18620336166381443,76.38750967028852,76.57371303195234,,0.0,0.0,"[0.333541, 0.752788]",77.35333135789972,78.50826464479118,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.7796183259473821,0.7796183259473821,0.5952115656367301,0.6771379107243919,0.6959973038430108,0.672494696594991,0.11798649944163359,1.9489129423081415,0.8449697840613887,1.084344112952798,0.15103016047308718,0.32401874538484826,0.8438778150971743,0.7830234503059675,0.3801213224393776,0.2709036378416924,0.5093527653105046,0.5952115656367301
111,"[0.957886, 0.964824, 0.532457, 0.25554]",0.7236019016161537,77.11111157190467,"[0.115519, 0.174749]",0.09844100747766214,77.11111157190467,77.20955257938233,,0.0,0.0,,0.0,0.0,,0.0,0.0,[0.932525],77.66635269345304,96.42260419790414,,0.0,0.0,0.0,0.45680011407070253,0.45680011407070253,0.5939646156226216,0.7029866784227067,0.6897270578624431,0.6699658315197621,0.11692355800522247,1.9522996116459346,0.8911039436669341,1.0745752470703402,0.14966952839675307,0.3210996575885884,0.8641539722253889,0.7767130040196057,0.3766968060210048,0.2684630645278033,0.5063739072515077,0.5939646156226216
112,"[0.772539, 0.319467]",1.8445358098483018,78.95564738175297,"[0.284722, 0.537503]",0.1659642140710237,78.95564738175297,79.12161159582399,"[0.827098, 0.751657, 0.659218, 0.481121]",79.12161159582399,82.3899681024016,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5886613601259911,0.7300781311374519,0.6846517302832597,0.6679682958211421,0.11764630716857853,1.9577185548923346,0.9390984757481934,1.064980825221498,0.14833319332178205,0.31823269636011886,0.882226559803911,0.7697780664837165,0.3777740628152145,0.2660660728802336,0.5082924316797487,0.5886613601259911
113,"[0.304477, 0.595501]",0.24005755739569434,79.19570493914867,"[0.766222, 0.79512]",0.3824640130303979,79.19570493914867,79.57816895217907,,0.0,0.0,"[0.244698, 0.458957]",79.57816895217907,80.28657712278526,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5834519675585045,0.762081122359331,0.6785928654134964,0.6749442491401217,0.11660518940602474,1.9580784153835902,0.9871482197381537,1.056372196679102,0.14702051019504062,0.3154164778082594,0.9052202249274368,0.7646710747518216,0.3744309295159648,0.2637115058635944,0.5087387428623027,0.5834519675585045
114,"[0.518229, 0.179767]",0.6812308190282215,79.87693575817688,"[0.58616, 0.41842]",0.28273432558599804,79.87693575817688,80.15967008376288,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,"[0.535017, 0.80037]",80.15967008376288,82.76536608703772,0.0,0.0,0.0,0.578333967843079,0.8047114075618425,0.6726402964186411,0.6760313465143934,0.1155823368673754,1.9534825458859977,1.0382641279300562,1.047105773901215,0.14573085659683852,0.312649666599415,0.9305635436669791,0.7579634337452267,0.37159907196498737,0.2613982470402295,0.5044260107852122,0.578333967843079
115,"[0.720559, 0.30404]",1.5236698036406071,81.40060556181749,"[0.983467, 0.879333, 0.179162, 0.360795]",0.1258560442970317,81.40060556181749,81.52646160611452,,0.0,0.0,,0.0,0.0,"[0.857189, 0.907252, 0.73444, 0.869212, 0.169829, 0.4]",81.52646160611452,82.06808609438775,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5733049768183566,0.8447969871822593,0.6667912503628268,0.672687799730514,0.11749462637227158,1.9443881630612914,1.0865463913876372,1.038000506302074,0.14484263200252973,0.30993097384637663,0.9596760677351639,0.7513724473648334,0.368367775687031,0.2591252188050971,0.5002664406816368,0.5733049768183566
116,"[0.846289, 0.550509, 0.341388, 0.54032]",0.2950803329876853,81.69568589480517,"[0.432095, 0.404513]",0.2200105018687718,81.69568589480517,81.91569639667394,,0.0,0.0,"[0.57036, 0.296161]",81.91569639667394,84.79117544535278,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5683626925354397,0.8798994650397644,0.6618384267424839,0.6704291803789841,0.11916769538306853,1.9370657890002159,1.1129181051780686,1.029052226075332,0.14417563652455254,0.3132086698771745,0.9883508550752147,0.7448950986806537,0.36547723091230894,0.25743196919592437,0.499527842007112,0.5683626925354397
